업종명,인허가일자,업소명,도로명주소,영업장면적,영업자시작일,업태명
일반음식점,1998-11-19,전주본가영양돌솥밥,서울특별시 성동구 한림말길 18 (옥수동),270.45,1998-11-19,한식
일반음식점,1998-10-12,곱창하우스,서울특별시 성동구 마조로7길 12 (행당동),59.46,1999-07-02,한식
일반음식점,1998-10-20,동맛골보쌈칼국수,서울특별시 성동구 성수일로12길 32 (성수동2가),62.25,2007-12-12,한식
일반음식점,1998-10-02,우리식당,서울특별시 성동구 아차산로11길 35 (성수동2가),42.46,1998-10-02,한식
일반음식점,1998-08-27,홍도식당,"서울특별시 성동구 성덕정길 34, 1층 (성수동1가)",24,2004-05-13,한식
일반음식점,1998-07-10,을지로골뱅이,"서울특별시 성동구 아차산로 87, 1층 (성수동2가, 300-87)",24.78,2012-07-09,호프/통닭
일반음식점,1998-07-10,평창식당,서울특별시 성동구 동일로59길 3 (송정동),58.22,1999-11-01,한식
일반음식점,1998-07-10,원조용문집,,127.6,2005-01-25,한식
일반음식점,1998-07-15,만두마을김밥동네,,26.06,1998-07-15,분식
일반음식점,1998-06-01,칠성식당,"서울특별시 성동구 뚝섬로 401-2, 1층 (성수동2가, 331-2)",71.99,2002-03-29,한식
일반음식점,1998-03-18,옛골감자탕,서울특별시 성동구 아차산로7길 9-2 (성수동2가),21.7,1998-03-18,한식
일반음식점,1999-06-28,김밥사랑,서울특별시 성동구 왕십리로21길 6 (행당동),62.35,2006-06-09,김밥(도시락)
일반음식점,1999-06-21,제주국수,"서울특별시 성동구 성수이로 118, 105호 (성수동2가, 성수아카데미타워)",290.67,2008-04-29,한식
일반음식점,1999-06-21,one(원),"서울특별시 성동구 마조로1가길 13, 지하 1층 (행당동)",156.46,2010-10-11,호프/통닭
일반음식점,1999-06-23,동부식당,,77.22,2010-04-05,한식
일반음식점,1999-04-26,함흥집,"서울특별시 성동구 왕십리로24나길 4 (도선동,(지상1층))",12.48,2010-12-06,한식
일반음식점,1999-04-20,페리카나,서울특별시 성동구 무학봉15길 23 (하왕십리동),26.6,2008-01-02,통닭(치킨)
일반음식점,1999-01-05,금돼지,서울특별시 성동구 성수일로12길 25 (성수동2가),28.05,2011-09-29,한식
일반음식점,1999-01-28,병천순대,"서울특별시 성동구 고산자로6길 40 (행당동,레몬프라자 114호(지상1층))",59.4,2005-09-21,한식
일반음식점,1999-02-09,이모네식당,"서울특별시 성동구 장터5길 4 (금호동3가,441)",25.9,1999-02-09,한식
일반음식점,1999-02-27,서산식당,"서울특별시 성동구 아차산로13길 6, 2층 (성수동2가, 277-60)",65.55,1999-02-27,한식
일반음식점,1999-07-31,삼원옥수해천탕,"서울특별시 성동구 독서당로 160, 상가동 1층 103,104호 (옥수동, 한남하이츠아파트)",31.66,1999-07-31,한식
일반음식점,1999-08-31,분식코너,,13.15,1999-08-31,분식
일반음식점,1999-09-06,왕손칼국수,"서울특별시 성동구 행당로8길 13, 지상1층 (행당동)",63,2003-04-15,한식
일반음식점,1999-09-18,금호불고기,"서울특별시 성동구 행당로 1 (금호동1가,로터리 B/D 지하 103호)",104.62,2004-03-19,한식
일반음식점,1999-09-30,왕십리닭내장탕집,,49.5,2008-12-29,한식
일반음식점,1999-10-29,서래갈매기부속고기,"서울특별시 성동구 마조로3나길 27 (행당동, 19-63 지상1층)",59.84,2012-02-20,정종/대포집/소주방
일반음식점,1999-11-03,옛날순대국,서울특별시 성동구 성덕정길 75 (성수동2가),16.5,1999-11-03,한식
일반음식점,1999-11-30,대성갈비,서울특별시 성동구 서울숲4길 27 (성수동1가),50.82,1999-11-30,한식
일반음식점,1999-12-04,한솥도시락,"서울특별시 성동구 행당로 119 (행당동, 317-70 지상1층)",23.79,2011-12-12,기타
일반음식점,1999-12-06,토상막회,서울특별시 성동구 무학봉길 88 (하왕십리동),24.52,2000-08-19,일식
일반음식점,1999-12-13,참나라숯불바베큐,"서울특별시 성동구 무수막길 3, 101호 (금호동3가)",46.6,2001-08-25,통닭(치킨)
일반음식점,1999-12-30,오코노미 앤 우동,서울특별시 성동구 행당로 119-6 (행당동),19.2,2002-04-12,정종/대포집/소주방
일반음식점,2000-03-23,진,,11.3,2000-03-23,까페
일반음식점,2000-03-20,비어치킨,,31.87,2003-05-02,호프/통닭
일반음식점,2000-05-08,필라이브(금호동),서울특별시 성동구 금호로 45 (금호동4가),268.18,2001-12-31,호프/통닭
일반음식점,2000-03-04,남도집추어탕숯불장어,서울특별시 성동구 왕십리로20길 9-1 (도선동),69.42,2008-03-24,한식
일반음식점,2000-06-15,머니뭐니,서울특별시 성동구 성덕정길 103 (성수동2가),116.8,2000-06-15,호프/통닭
일반음식점,2000-06-07,외가집,서울특별시 성동구 연무장길 17 (성수동2가),23.34,2004-12-13,한식
일반음식점,2000-08-10,B.B.Q금호점,서울특별시 성동구 독서당로 326 (금호동4가),27.38,2011-10-13,통닭(치킨)
일반음식점,2000-10-16,이수냉삼집,서울특별시 성동구 마조로3가길 21 (행당동),62.35,2008-02-21,한식
일반음식점,2000-09-28,왕십리전어마을,서울특별시 성동구 무학로 12-1 (도선동),31.68,2000-09-28,횟집
일반음식점,2000-09-29,명랑즉석떡볶이,"서울특별시 성동구 행당로17길 5 (행당동, 행당동 317-90,91 지상1층)",24.32,2012-02-22,분식
일반음식점,2000-11-02,성일감자탕,서울특별시 성동구 마조로 29 (행당동),31.26,2010-02-10,한식
일반음식점,2000-11-24,코스모,서울특별시 성동구 행당로 125-3 (행당동),65.7,2000-11-24,호프/통닭
일반음식점,2000-01-22,달라는대로,"서울특별시 성동구 성덕정길 48-1, 지상1층 (성수동1가)",53.4,2008-10-30,호프/통닭
일반음식점,2000-12-29,명문부페,서울특별시 성동구 마장로 360 (용답동),239.13,2000-12-29,한식
일반음식점,2001-02-20,수릿(soolit),서울특별시 성동구 왕십리로4길 22-1 (성수동1가),22.94,2002-05-01,한식
